date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2023-11-25 00:00:00,1983.843872,-0.000943076,1,1,-0.000943076,-0.000943076,0.03950174,0.308163521,0.03950174
2023-11-26 00:00:00,1984.418091,0.000289448,0,0.5,0.000289448,0.000289448,0.039802621,0.308542165,0.039802621
2023-11-27 00:00:00,1999.215088,0.007456593,1,1,0.003728296,0.003728296,0.043679313,0.318299431,0.043679313
2023-11-28 00:00:00,2022.224731,0.011509339,1,1,0.011509339,0.011509339,0.055691372,0.333472186,0.055691372
2023-11-29 00:00:00,2024.512451,0.001131289,1,1,0.001131289,0.001131289,0.056885664,0.334980728,0.056885664
2023-11-30 00:00:00,2021.532471,-0.00147195,1,1,-0.00147195,-0.00147195,0.055329981,0.333015703,0.055329981
2023-12-01 00:00:00,2049.712646,0.013940006,1,1,0.013940006,0.013940006,0.070041288,0.351597951,0.070041288
2023-12-02 00:00:00,2044.981812,-0.002308048,1,1,-0.002308048,-0.002308048,0.067571581,0.348478398,0.067571581
2023-12-03 00:00:00,2085.338379,0.019734438,1,1,0.019734438,0.019734438,0.088639507,0.375089862,0.088639507
2023-12-04 00:00:00,2024.707031,-0.029075064,1,1,-0.029075064,-0.029075064,0.056987243,0.335109035,0.056987243
2023-12-05 00:00:00,2012.989014,-0.005787513,1,1,-0.005787513,-0.005787513,0.050869916,0.327382075,0.050869916
2023-12-06 00:00:00,2007.35022,-0.002801205,1,1,-0.002801205,-0.002801205,0.047926215,0.323663806,0.047926215
2023-12-07 00:00:00,2018.133057,0.005371677,1,1,0.005371677,0.005371677,0.053555336,0.330774101,0.053555336
2023-12-08 00:00:00,2003.543579,-0.007229195,1,1,-0.007229195,-0.007229195,0.045938979,0.321153675,0.045938979
2023-12-09 00:00:00,1993.90332,-0.004811604,1,1,-0.004811604,-0.004811604,0.040906334,0.314796806,0.040906334
2023-12-10 00:00:00,1989.8396,-0.002038073,1,1,-0.002038073,-0.002038073,0.038784891,0.312117154,0.038784891
2023-12-11 00:00:00,1968.800293,-0.010573368,1,1,-0.010573368,-0.010573368,0.027801436,0.298243657,0.027801436
2023-12-12 00:00:00,1964.036743,-0.002419519,1,1,-0.002419519,-0.002419519,0.025314651,0.295102532,0.025314651
2023-12-13 00:00:00,2007.156616,0.021954718,1,1,0.021954718,0.021954718,0.047825145,0.323536143,0.047825145
2023-12-14 00:00:00,2017.143921,0.004975847,1,1,0.004975847,0.004975847,0.053038963,0.330121856,0.053038963
2023-12-15 00:00:00,2003.329712,-0.0068484,1,1,-0.0068484,-0.0068484,0.04582733,0.321012649,0.04582733
2023-12-16 00:00:00,1994.015381,-0.004649425,1,1,-0.004649425,-0.004649425,0.040964835,0.3148707,0.040964835
2023-12-17 00:00:00,1995.436279,0.000712581,1,1,0.000712581,0.000712581,0.041706607,0.315807653,0.041706607
2023-12-18 00:00:00,2010.926025,0.007762586,1,1,0.007762586,0.007762586,0.049792944,0.326021723,0.049792944
2023-12-19 00:00:00,2021.234985,0.005126474,1,1,0.005126474,0.005126474,0.055174681,0.332819539,0.055174681
2023-12-20 00:00:00,2013.08252,-0.004033408,1,1,-0.004033408,-0.004033408,0.05091873,0.327443734,0.05091873
2023-12-21 00:00:00,2029.202637,0.008007678,1,1,0.008007678,0.008007678,0.059334149,0.338073476,0.059334149
2023-12-22 00:00:00,2029.127075,-3.72371E-05,1,1,-3.72371E-05,-3.72371E-05,0.059294703,0.33802365,0.059294703
2023-12-23 00:00:00,2028.609131,-0.000255255,1,1,-0.000255255,-0.000255255,0.059024313,0.337682113,0.059024313
2023-12-24 00:00:00,2029.488281,0.000433376,1,1,0.000433376,0.000433376,0.059483269,0.338261832,0.059483269
2023-12-25 00:00:00,2030.733765,0.000613693,1,1,0.000613693,0.000613693,0.060133466,0.339083115,0.060133466
2023-12-26 00:00:00,2036.138794,0.002661614,1,1,0.002661614,0.002661614,0.062955132,0.342647237,0.062955132
2023-12-27 00:00:00,2053.206787,0.008382529,1,1,0.008382529,0.008382529,0.071865385,0.353902017,0.071865385
2023-12-28 00:00:00,2049.714111,-0.001701083,1,1,-0.001701083,-0.001701083,0.070042053,0.351598917,0.070042053
2023-12-29 00:00:00,2037.598267,-0.005910992,1,1,-0.005910992,-0.005910992,0.063717042,0.343609626,0.063717042
2023-12-30 00:00:00,2027.948853,-0.00473568,1,1,-0.00473568,-0.00473568,0.058679618,0.33724672,0.058679618
2023-12-31 00:00:00,2026.456421,-0.000735932,0,0.5,-0.000735932,-0.000735932,0.057900503,0.336262598,0.057900503
2024-01-01 00:00:00,2031.299683,0.002390015,0,0.5,0.001195008,0.001195008,0.059164702,0.339456286,0.059164702
2024-01-02 00:00:00,2033.250366,0.000960313,0,0.5,0.000480157,0.000480157,0.059673267,0.340742583,0.059673267
2024-01-03 00:00:00,2018.024536,-0.007488419,0,0.5,-0.003744209,-0.003744209,0.055705628,0.330702541,0.055705628
2024-01-04 00:00:00,2022.756836,0.002345016,1,1,0.001172508,0.001172508,0.056943451,0.33382306,0.056943451
2024-01-05 00:00:00,2022.374634,-0.000188951,1,1,-0.000188951,-0.000188951,0.056743741,0.333571033,0.056743741
2024-01-06 00:00:00,2017.758179,-0.00228269,0,0.5,-0.00228269,-0.00228269,0.054331522,0.330526903,0.054331522
